StartDate,EndDate,duration,precinct,pres,senate,congress,q1,recall2020,econ_usa,econ_md,biden,moore,votereason,issues,issue_other,trustgov,women,prolife,fav_dem,fav_rep,fav_court,fav_media,pid7,ideo,age,gender,gender_other,race,news,news_other,relig,hhinc,edu,residency,urban
10/29/2024 6:45,10/29/2024 6:51,381,3,2,2,1,2,2,5,5,5,5,2,"2,3,4,6,8",,4,5,2,0,80,90,0,1,4,4,1,,1,"4,5,7",,1,4,2,4,2
10/29/2024 6:48,10/29/2024 6:55,422,3,1,1,2,1,2,2,3,1,1,1,"1,2,7,3,4,5,6,8,9,10,11,12,13",against all the hate the other party has shown ,2,3,1,100,0,0,80,6,2,5,2,,1,3,,4,3,4,2,2
10/29/2024 6:55,10/29/2024 6:59,293,3,2,2,1,1,2,5,5,5,3,2,"1,2,7,4,6,8,10,11",,2,4,1,20,70,,,2,3,1,2,,1,"2,3,6",,2,2,5,6,2
10/29/2024 6:59,10/29/2024 7:04,277,3,2,2,1,2,2,5,5,5,5,1,"1,4,6,8",,3,5,2,0,50,,0,2,3,5,2,,1,7,,1,6,5,4,3
10/29/2024 7:01,10/29/2024 7:05,278,3,2,6,1,2,2,4,4,5,4,2,"2,3,4,6,9,10,11",,3,5,2,0,100,100,0,2,4,6,2,,4,7,news max,1,2,5,4,2
10/29/2024 7:00,10/29/2024 7:07,413,3,2,2,1,2,2,4,4,4,4,5,"2,4,8,10",,3,2,3,0,,90,0,4,3,6,2,,1,"2,3,8",,3,3,5,5,2
10/29/2024 7:05,10/29/2024 7:10,328,3,2,2,4,1,2,4,3,4,3,1,"7,4,5,6,8",,3,3,1,30,40,50,20,4,3,3,1,,1,"4,5,6",,1,7,5,4,2
10/29/2024 7:40,10/29/2024 7:48,478,3,2,2,1,2,1,5,5,4,4,2,"2,4,6,8,10",,3,5,2,10,90,90,0,2,4,4,1,,1,"2,8",,3,6,4,3,2
10/29/2024 7:46,10/29/2024 7:49,146,3,2,2,1,2,2,5,5,5,5,2,"2,3,4,6,8,10,11,12",,3,3,1,0,70,100,0,3,3,6,1,,1,"3,8",,2,6,4,1,2
10/29/2024 7:43,10/29/2024 7:49,361,3,2,2,1,1,2,5,5,5,4,2,"2,7,3,4,6,8,9,11,12",,3,1,1,0,100,50,0,3,4,3,2,,1,"1,8,5",,2,6,6,1,2
10/29/2024 7:44,10/29/2024 7:50,377,3,2,2,1,2,2,5,5,5,5,2,"4,6,8,10,11",,2,5,2,0,80,40,0,,,,,,,"1,6",,2,7,6,1,2
10/29/2024 7:50,10/29/2024 7:54,234,3,2,2,1,1,2,4,4,5,4,1,"1,4,10",,2,4,1,0,,,0,6,3,5,2,,1,1,,3,6,3,1,1
10/29/2024 8:02,10/29/2024 8:04,122,3,2,8,1,1,2,5,5,5,5,2,"1,2,4,6,8",,3,4,1,10,80,80,0,1,3,5,2,,1,3,,1,2,4,1,1
10/29/2024 8:08,10/29/2024 8:15,388,3,2,3,1,2,2,4,4,5,5,1,"1,2,7,3,4,6,8,9,10,11,12",,3,1,2,0,70,80,0,2,4,5,1,,1,"1,5",,5,3,4,2,3
10/29/2024 8:23,10/29/2024 8:28,267,3,2,2,1,1,3,5,5,5,5,2,"1,2,7,3,4,8,9,10,11,12",,3,2,2,0,100,100,0,1,4,2,2,,1,"1,3,6",,3,1,3,1,1
10/29/2024 7:59,10/29/2024 8:36,2204,3,1,1,2,1,2,4,4,2,1,2,"1,2,7,3,4,8,9,12",,2,4,1,100,0,,,6,1,1,1,,4,"1,3,8,4,5,6",,2,2,4,2,1
10/29/2024 8:45,10/29/2024 8:49,234,3,1,2,5,1,1,3,3,2,2,1,"1,2,3",,2,2,1,80,10,10,10,5,2,3,1,,1,"1,2,3,8,4,5,6",,1,1,5,1,2
10/29/2024 8:44,10/29/2024 8:49,273,3,2,2,1,2,2,5,5,5,4,2,"1,2,3,4,10,11",,3,4,2,0,100,80,,1,3,6,2,,1,"3,8",,5,3,2,2,2
10/29/2024 8:49,10/29/2024 8:52,132,3,2,2,1,1,2,5,5,5,4,1,"2,4,8",,3,2,2,10,60,100,0,1,4,6,1,,1,3,,5,4,5,2,2
10/29/2024 8:52,10/29/2024 9:00,469,3,2,2,4,2,2,5,5,5,3,2,"3,4,10,11",,4,5,2,20,70,70,0,3,3,6,2,,7,"3,6",,4,5,2,1,2
10/29/2024 8:54,10/29/2024 9:01,410,3,1,1,2,1,2,2,3,3,2,3,"1,7,3,5,12",,2,2,1,60,0,10,60,5,3,4,2,,1,"1,4,5",,1,3,5,2,2
10/29/2024 9:02,10/29/2024 9:05,173,3,2,2,1,2,2,4,4,5,4,2,"2,4,6,8,9,10",,4,1,2,0,,80,0,1,4,5,1,,1,"3,5",,5,4,2,1,1
10/29/2024 9:02,10/29/2024 9:06,263,3,2,2,1,2,2,5,5,5,5,3,"1,2,4,8,9,10,11,12",,3,3,2,0,100,50,0,1,3,5,2,,1,8,,5,5,2,1,1
10/29/2024 9:06,10/29/2024 9:08,162,3,2,2,5,2,2,5,5,5,5,1,3,,3,3,3,,,,,3,3,6,2,,1,3,,2,5,3,3,2
10/29/2024 9:06,10/29/2024 9:10,232,3,1,1,2,1,2,2,3,1,1,2,"1,7,3,8,11",,2,4,1,80,0,20,70,7,2,6,2,,1,"2,3,8",,2,3,6,2,2
10/29/2024 9:15,10/29/2024 9:19,225,3,2,2,1,2,2,5,5,5,5,1,"2,7,3,4,6,9,10",,3,1,2,0,,70,0,4,3,3,1,,1,"1,2,8,4",,4,7,6,4,2
10/29/2024 9:16,10/29/2024 9:21,300,3,2,2,1,1,2,5,3,5,1,1,"2,7,4,5,6,8,9",,3,3,1,10,70,70,0,4,2,3,1,,1,"3,8,5",,4,4,5,2,2
10/29/2024 9:19,10/29/2024 9:24,301,3,1,1,2,1,2,4,4,3,2,2,"1,2,7,8,9,10,11,12",,3,3,1,70,30,40,30,6,2,3,2,,4,"1,3,8",,1,2,3,2,2
10/29/2024 9:23,10/29/2024 9:28,311,3,2,2,1,1,2,5,5,5,5,2,"2,7,4,6,8,10,11",,4,5,1,0,100,,0,2,5,3,1,,1,"1,3,8,5,6",,2,3,3,1,2
10/29/2024 9:10,10/29/2024 9:32,1285,3,2,3,3,2,2,5,5,5,5,5,"1,2,7,3,4,5,6,8,9,10,11,12,13",Stop the media from all the lies,3,2,3,0,90,50,0,3,3,5,2,,7,,,,,,,
10/29/2024 9:20,10/29/2024 9:34,824,3,2,2,1,,2,5,5,5,5,2,13,need our country's strength back ,,,3,0,0,0,0,,,4,2,,6,,,5,,2,1,
10/29/2024 9:35,10/29/2024 9:39,236,3,2,6,1,2,2,5,5,5,4,1,"1,2,7,3,4,5,6,8,9,10,11,12,13",for a better life ,3,1,2,,90,,0,1,5,5,2,,1,"8,4",,5,2,2,2,2
10/29/2024 9:52,10/29/2024 9:55,164,3,1,1,2,1,2,3,3,2,2,1,"1,3,8,11",,2,3,1,,10,20,,4,3,4,2,,1,"4,5",,1,7,4,5,2
10/29/2024 9:55,10/29/2024 9:58,167,3,2,2,1,1,5,5,4,4,4,1,"2,7,6,8,10",,4,4,1,,,20,0,3,3,1,2,,1,"1,8",,5,7,3,1,2
10/29/2024 10:07,10/29/2024 10:14,447,3,1,1,2,1,2,2,2,2,1,1,"1,7,3,5,12",,2,4,1,90,0,0,,7,2,6,2,,4,"2,3,8",,2,5,5,4,2
10/29/2024 10:15,10/29/2024 10:17,137,3,1,1,1,1,2,1,2,1,1,1,3,,2,4,1,90,10,0,,7,3,6,1,,4,"1,3",,2,5,4,4,2
10/29/2024 10:18,10/29/2024 10:23,304,3,2,2,1,2,5,5,5,5,3,2,"2,7,4,8,9,11",,3,5,2,10,60,60,20,4,4,1,1,,1,"1,8,4,6",,2,5,3,1,2
10/29/2024 10:23,10/29/2024 10:27,193,3,2,2,1,2,,,,,,,"1,2,7,4,5,9,10,11",,2,2,1,30,50,70,10,3,3,5,2,,1,"2,3,8",,3,3,3,1,2
10/29/2024 10:27,10/29/2024 10:31,255,3,2,2,1,2,2,5,5,5,3,2,"2,7,3,4,5,6,8,10",,3,2,2,30,80,90,40,2,4,6,1,,1,"1,2,3,8,4,5,6",,2,4,3,2,2
10/29/2024 10:31,10/29/2024 10:35,211,3,1,1,2,1,2,1,2,1,1,1,"1,3,5,6,11,12",,2,4,1,,30,30,70,6,3,6,1,,1,"2,3,8,5",,2,6,3,2,1
10/29/2024 10:40,10/29/2024 10:46,351,2,1,1,2,1,2,4,4,3,2,1,"1,2,7,3,8,9,10,11,12",,3,3,1,100,0,,,7,3,4,2,,4,"1,8,5,6",,4,5,4,2,2
10/29/2024 10:45,10/29/2024 10:56,689,2,1,1,2,1,2,4,3,2,3,4,"1,5,12",,2,4,1,70,30,40,30,5,2,2,2,,4,"1,5",,2,8,3,1,2
10/29/2024 10:38,10/29/2024 11:04,1557,2,1,1,2,1,2,2,2,1,2,2,"1,2,7,3,4,5,6,8,9,10,11,12",,2,3,1,90,0,0,20,6,3,6,1,,7,"1,2,3,8,4,7",,3,3,4,2,2
10/29/2024 11:18,10/29/2024 11:24,404,2,1,1,2,1,2,5,3,2,2,1,"2,9,10,12",,2,3,1,90,0,0,0,6,3,4,1,,4,"3,8,5",,2,4,,3,1
10/29/2024 11:23,10/29/2024 11:27,232,2,1,1,2,1,2,2,3,2,2,3,"1,7,3,4,5,6,8,9,10,11,12",,2,3,1,100,0,0,0,7,4,6,2,,4,"2,3,8,5,6",,5,6,6,4,2
10/29/2024 11:28,10/29/2024 11:32,295,2,4,1,3,1,1,5,5,5,1,2,"1,2,7,3,4,5,6,8,9,10,11,12",,4,1,1,0,0,0,0,4,1,6,2,,4,"2,4,7",Independent news,3,4,6,2,2
10/29/2024 11:33,10/29/2024 11:35,129,2,1,1,2,1,2,4,3,3,2,1,"11,12",,2,2,1,80,0,0,0,6,4,6,1,,4,8,,5,5,3,1,2
10/29/2024 11:33,10/29/2024 11:37,261,2,1,1,2,1,2,2,2,1,,1,"1,2,7,3,4,5,6,8,9,10,11",,4,4,3,100,0,0,0,7,5,6,1,,4,"3,8,6",,5,5,4,5,2
10/29/2024 11:35,10/29/2024 11:39,255,2,1,1,2,1,2,3,2,2,2,1,"1,2,7,5,9,12",,2,2,1,90,10,0,0,6,2,4,2,,4,"1,4,5,6",,2,6,6,4,2
10/29/2024 11:38,10/29/2024 11:41,197,2,2,2,1,2,2,4,4,5,4,2,"1,2,3,4,8,9,10",,2,5,2,10,60,80,0,4,3,2,1,,2,7,Podcast,5,6,5,5,2
10/29/2024 11:38,10/29/2024 11:42,252,2,1,1,2,1,2,3,3,2,1,2,3,,2,3,1,80,0,0,0,5,2,5,2,,4,8,,4,5,2,1,2
10/29/2024 11:40,10/29/2024 11:44,258,2,1,1,2,4,3,4,3,2,5,5,"1,7,4,5,8,9,10,11,12",,3,4,1,100,0,0,0,7,3,2,2,,"4,6","1,2,8,4,5",,1,2,3,1,1
10/29/2024 11:44,10/29/2024 11:47,173,2,1,1,2,1,2,4,3,3,3,1,"1,2,7,3,8,9,10,12",,2,3,1,80,0,10,10,6,3,1,2,,4,"1,2,3,8,5",,4,3,5,1,2
10/29/2024 11:43,10/29/2024 11:48,307,2,1,1,2,1,2,4,2,1,1,1,"1,2,7,3,5,8,9,10,12",,2,1,1,100,0,0,0,6,2,3,2,,4,1,,3,2,3,1,2
10/29/2024 11:45,10/29/2024 11:49,268,2,1,1,2,1,2,4,3,2,2,2,"4,5,9,10,11,12",,2,2,1,90,20,20,0,7,3,5,2,,4,"2,8",,4,6,5,2,2
10/29/2024 11:47,10/29/2024 11:50,155,2,1,1,2,1,2,3,3,2,2,2,"1,2,7,3,5,8,9,10,12",,2,2,1,100,0,0,90,,,,,,,,,,,,,
10/29/2024 11:48,10/29/2024 11:53,259,2,2,2,4,2,2,3,3,5,3,2,"2,4,8",,3,2,2,0,80,90,0,2,4,,1,,7,"1,3,4,5,7",Observation,5,3,6,4,2
10/29/2024 11:47,10/29/2024 11:53,330,2,1,1,2,1,2,2,2,2,2,2,"1,2,7,3,9,10,11,12",,3,2,1,100,10,40,70,6,3,2,2,,4,"1,3,8,5,6",,5,5,5,1,2
10/29/2024 11:50,10/29/2024 11:53,171,2,1,1,2,1,2,3,3,2,2,2,"1,2,7,3,8,10,11,12",,2,4,1,90,,30,20,6,3,5,1,,4,"3,8",,2,3,4,3,1
10/29/2024 11:53,10/29/2024 11:58,296,2,1,1,2,1,2,,,2,3,1,3,,3,4,3,60,0,0,0,5,2,1,2,,4,1,,5,2,5,6,2
10/29/2024 11:55,10/29/2024 11:58,185,2,1,1,2,1,2,2,2,2,3,1,"1,2,12",,3,3,1,100,0,70,30,5,3,3,2,,4,"1,3,8,6",,2,3,4,1,2
10/29/2024 11:58,10/29/2024 12:00,124,2,1,1,2,3,2,5,5,1,1,2,"1,7,8,9,10,11,12",,4,4,2,100,0,0,0,7,1,4,2,,4,,,,,,,
10/29/2024 11:59,10/29/2024 12:11,732,2,1,1,2,4,4,4,4,1,1,1,1,,2,3,1,100,0,100,100,6,3,5,1,,4,3,,1,1,2,5,2
10/29/2024 12:09,10/29/2024 12:13,219,2,1,1,2,1,1,1,1,1,1,1,"1,2,7,3,5,6,9,11,12",,1,4,1,100,60,10,30,6,2,6,1,,4,"2,3,7",Books/journals,2,7,6,4,2
10/29/2024 12:11,10/29/2024 12:21,589,2,1,1,2,1,2,5,4,2,3,1,"1,2,7,3,9,12",,2,3,1,70,30,50,20,5,3,1,2,,4,"3,5",,2,2,4,1,2
10/29/2024 12:21,10/29/2024 12:24,161,2,1,1,2,1,2,2,2,2,1,1,"1,2,7,3,5,6,8,9,10,11,12",,2,3,1,90,10,20,50,7,1,1,1,,4,"3,4",,1,8,3,5,2
10/29/2024 12:26,10/29/2024 12:30,254,2,2,2,1,2,2,5,4,4,3,2,"1,2,7,3,4,6,8,9,10,11,12",,3,5,2,10,70,70,0,3,4,2,2,,1,"2,4,5",,5,6,6,5,2
10/29/2024 12:32,10/29/2024 12:36,257,2,1,1,3,1,2,5,4,4,2,3,"1,2,7,3,4,5,6,8,9,10,11,12",,3,3,1,,0,0,20,5,3,3,2,,4,"1,2,3,8,4,5,6",,2,6,6,3,2
10/29/2024 12:35,10/29/2024 12:38,183,2,7,7,5,4,5,5,4,3,3,2,"7,4,8,9,10,12",,2,3,3,,,,,6,2,2,2,,3,"1,3",,4,2,5,5,2
10/29/2024 12:34,10/29/2024 12:38,240,2,1,1,2,1,2,3,3,2,1,2,"2,3,6,12",,2,4,1,60,20,30,30,4,3,4,1,,4,"1,2,3,6",,5,7,6,4,2
10/29/2024 12:35,10/29/2024 12:40,289,2,1,2,2,1,5,4,3,1,3,1,"1,7,3,5,6,8,9,10,11,12",,2,4,1,90,30,100,10,4,1,3,1,,3,"1,2,3,8,4,5,6",,2,6,6,5,2
10/29/2024 12:42,10/29/2024 12:47,301,2,1,1,2,1,2,5,5,5,2,4,"1,2,7,3,4,5,6,8,9,10,11,12",,3,4,1,100,0,0,0,7,1,1,2,,10,"1,7",Tik Tok,4,4,5,1,2
10/29/2024 12:45,10/29/2024 12:52,426,2,1,1,2,1,5,5,5,3,3,1,"1,2",,3,3,1,70,70,70,20,4,3,1,2,,3,"1,3,8",,2,4,3,1,2
